identifier,creator,date,title,subjects,description,location,physical_description,language,file_type,source_collection,rights,image_url
//hdl.loc.gov/loc.pnp/jpd.00505,Andō Hiroshige 1797-1858,1841-01-01,Ayu zu,"color, japan, japanese, trout, ukiyo-e, woodcuts","1 print : woodcut, color ; 25.3 x 37.2 cm. | Print shows four trout in a stream.",Japan,"photo, print, drawing",eng jpn,image/gif; image/jpg; image/tif,"fine prints: japanese, pre-1915, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/jpd/00500/00505r.jpg#h=444&w=640
https://hdl.loc.gov/loc.pnp/mrg.07416,Margolies John,1980,"Big Fish Supper Club, Bena, Minnesota","bena, color, mimetic buildings, minnesota, slides, united states",1 photograph : color transparency ; 35 mm (slide format).,"Minnesota, Bena, United states","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"john margolies roadside america photograph archive, prints and photographs division, catalog","No known restrictions on publication. For more information, see ""John Margolies Roadside America Photograph Archive - Rights and Restrictions Information"" https://www.loc.gov/rr/print/res/723_marg.html",https://tile.loc.gov/storage-services/service/pnp/mrg/07400/07416v.jpg#h=705&w=1024
https://hdl.loc.gov/loc.pnp/nclc.00972,Hine Lewis Wickes 1874-1940,1911-01-01,"Three young cutters who work in Seacoast Canning Co., Factory #4. Ages 10 to 12. Work regularly.  Location: Eastport, Maine.","boys, cannery workers, eastport, fish, maine, photographic prints, united states",1 photographic print.,"Maine, United states, Eastport","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 7476, national child labor committee collection, prints & photographs online catalog (library of congress), prints and photographs division, catalog","No known restrictions on publication. For information see: ""National Child Labor Committee (Lewis Hine photographs),"" https://hdl.loc.gov/loc.pnp/res.097.hine",https://tile.loc.gov/storage-services/service/pnp/nclc/00900/00972r.jpg#h=379&w=640
//hdl.loc.gov/loc.pnp/pga.00121,Not found,1878-01-01,Feeding the carp - park at Fontainebleau / painted by P.C. Comte ; engraved by J. Ballin.,"engravings, fish, france, paintings, reproductions, social life, women",1 print : engraving. | Two noble women feeding carp.,France,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/pga/00100/00121r.jpg#h=640&w=464
//hdl.loc.gov/loc.pnp/pga.01210,Not found,1897-01-01,Sponge fishing,Not found,1 print.,Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/pga/01200/01210r.jpg#h=501&w=640
//hdl.loc.gov/loc.pnp/pga.09354,,1871-01-01,Little white kitties: fishing,"hand-colored, lithographs","1 print : lithograph, hand-colored.",Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/pga/09300/09354v.jpg#h=814&w=1024
http://hdl.loc.gov/loc.pnp/ppmsc.02385,Lomen Bros.,1903-01-01,"Tom Kod Peluk,"" Nome, Alaska","alaska, eskimos, ice fishing, indians of north america, inuit, nome, photographic prints, subsistence activities, united states","Title transcribed from item. Alternate title and date from caption accompanying item and from Glenbow Museum description of this image, 2022. Photo by Lomen Bros., Nome. Forms part of: Frank and Frances Carpenter collection (Library of Congress). Gift; Mrs. W. Chapin Huntington; 1951.","United states, Nome, Alaska","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 11453, carpenter collection, meeting of frontiers, prints & photographs online catalog (library of congress), prints and photographs division, catalog",['No known restrictions on publication.'],https://tile.loc.gov/storage-services/service/pnp/ppmsc/02300/02385r.jpg#h=453&w=640
//hdl.loc.gov/loc.pnp/ppmsc.05895,Smith Jessie Willcox 1863-1935,1916-01-01,"[Oh, don't hurt me! cried Tom.  I only want to look at you; you are so handsome","book illustrations, children, color, fairy tales, fish, paintings, tom (fictitious character : kingsley)","1 painting : charcoal, watercolor and oil ; image 57.5 x 41.7 cm.",Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"cabinet of american illustration, prints & photographs online catalog (library of congress), prints and photographs division, catalog","Publication may be restricted. For information see ""Cabinet of American Illustration,"" https://www.loc.gov/rr/print/res/111_cai.html",https://tile.loc.gov/storage-services/service/pnp/ppmsc/05800/05895r.jpg#h=640&w=464
https://hdl.loc.gov/loc.pnp/ppmsca.01947,Frissell Toni 1907-1988,1957,"[African American woman, seated on ground, fishing, at the Tidal Basin, Washington, D.C.]","african americans, fishing, nitrate film negatives, tidal basin (washington, d.c.), washington (d.c.), women",1 negative : nitrate film ; 120 medium format.,"Washington d.c., Tidal basin","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"american women: a gateway to library of congress resources for the study of women's history and culture in the united states, prints and photographs division, catalog","No known restrictions on publication. For information see: ""Toni Frissell photograph collection,"" https://hdl.loc.gov/loc.pnp/res.070.fris",https://tile.loc.gov/storage-services/service/pnp/ppmsca/01900/01947r.jpg#h=640&w=594
//hdl.loc.gov/loc.pnp/ppmsca.09305,Lindner,1870-01-01,"Allen & Ginter, Richmond, Virginia. 50 fish from American waters. You will catch one in each package of Virginia Bright, ... cigarettes / Lindner, Eddy & Clauss, lith., N.Y.","advertisements, allen & ginter, cigarette cards, cigarette industry, color, fish, lithographs, united states","1 print : lithograph, color ; 106 x 37.2 cm | Advertisement poster for Allen & Ginter, manufacturers of cigarettes, showing different types of fish.",United states,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/09300/09305r.jpg#h=640&w=231
https://hdl.loc.gov/loc.pnp/ppmsca.18646,Marceau Theodore C. 1859-1922,1914,"[Woman wearing a hat shaped like a fish] / Marceau, 258 Fifth Avenue, New York.","fish, hats, photographic prints, portrait photographs, women",1 photographic print. | Photograph showing portrait of an unidentified woman wearing a fish-shaped object on her head and holding a fish-shaped object in her lap.,Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/18600/18646r.jpg#h=640&w=512
//hdl.loc.gov/loc.pnp/ppmsca.19492,Not found,1908-01-01,Jap. fishing - Belmar,"belmar, fishing, japanese americans, new jersey, photographic prints, sports","1 photographic print. | Photograph showing a man of Japanese origin standing on the beach in Belmar, New Jersey, displaying the fish that he caught.","New jersey, Belmar","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 11146, bain collection, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/19400/19492r.jpg#h=456&w=640
//hdl.loc.gov/loc.pnp/ppmsca.39602,American Bank Note Company,1940-01-01,"Paradise brook trout co. Post Office Henryville, Pa. Henryville Station D.,L. & W.R.R. [Delaware, Lackawanna and Western Railroad] / American Bank Note Co. N.Y.","advertisements, color, fish hatcheries, fishing, halftone photomechanical prints, industrial facilities, pennsylvania, periodical illustrations, trout","1 print : color halftone ; sheet 22.3 x 15.2 cm. | Print shows an advertisement for the Paradise Brook Trout Company showing a brook trout caught on a hook, leaping out of the water, also two illustrations of buildings at the edge of streams or holding ponds, and at the bottom corners are four examples of flyfishing flies. Text printed on verso, beneath a masthead showing two whales or dolphins spouting, states ""Our water supply, which is cold mountain spring water, is perfect. The source of each of the ten springs is on our own acres, nestling in the hills of the famous Pocono Mountains. As it cannot be used by others before reaching us, the waters cannot become polluted in any manner. Our latest advanced methods known to the fish culturist of to-day, in conjunction with our pure water supply, gives us the desired result - strong, vigorous trout, in the best possible physical condition. Disease among our production is unknown.""",Pennsylvania,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"lot 14108, miscellaneous items in high demand, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/39600/39602v.jpg#h=1024&w=708
//hdl.loc.gov/loc.pnp/ppmsca.41730,Bain News Service,1915-01-01,Shad fishing - fishers & catch,"african americans, employment, fishing industry, fishing nets, photographic prints, shad","1 photograph : gelatin silver print ; sheet 12 x 17 cm. | Photograph shows African American men and women with large net of shad by water, possibly the Chesapeake Bay.",Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"miscellaneous items in high demand, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/ppmsca/41700/41730v.jpg#h=745&w=1024
https://hdl.loc.gov/loc.pnp/ppmsca.44347,Willson Marcius,1890,"School and family charts, accompanied by a manual of object lessons and elementary instruction. No. XVIII. Zoological: class III. Reptiles, class IV fishes / by Marcius Willson and N.A. Calkins.","education, fish, prints, reptiles","1 print : wood engraving with letterpress,  hand-colored ; sheet 92 x 122 cm. or less.",Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints and photographs division, catalog","No known restrictions on publication. For information see: ""Popular Graphic Arts,"" https://hdl.loc.gov/loc.pnp/res.248.pga",https://tile.loc.gov/storage-services/service/pnp/ppmsca/44300/44347v.jpg#h=1024&w=721
https://hdl.loc.gov/loc.pnp/ppmsca.44535,Not found,1879-01-01,What are you going to do about it?,"boys, child behavior, fishing, girls, police, prints",1 print : chromolithograph ; sheet 92 x 122 cm. or less.,Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog","No known restrictions on publication. For information see: ""Popular Graphic Arts,"" https://hdl.loc.gov/loc.pnp/res.248.pga",https://tile.loc.gov/storage-services/service/pnp/ppmsca/44500/44535v.jpg#h=1024&w=867
https://hdl.loc.gov/loc.pnp/ppmsca.58753,Not found,1907-01-01,Black bass fishing,"fishing, men, prints, rowboats, women",1 print :  chromolithograph ;  sheet 92 x 122 cm. or less.,Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog","No known restrictions on publication. For information see: ""Popular Graphic Arts,"" https://hdl.loc.gov/loc.pnp/res.248.pga",https://tile.loc.gov/storage-services/service/pnp/ppmsca/58700/58753v.jpg#h=400&w=1024
https://hdl.loc.gov/loc.pnp/ppmsca.58775,Not found,1898-01-01,Fish,"fishing, prints",1 print :  chromolithograph ;  sheet 92 x 122 cm. or less.,Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog","No known restrictions on publication. For information see: ""Popular Graphic Arts,"" https://hdl.loc.gov/loc.pnp/res.248.pga",https://tile.loc.gov/storage-services/service/pnp/ppmsca/58700/58775v.jpg#h=1024&w=714
https://hdl.loc.gov/loc.pnp/ppmsca.59523,Not found,1905-01-01,Fishing,"fishing, prints, seas, women",1 print :  chromolithograph ;  sheet 92 x 122 cm. or less.,Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"popular graphic arts, prints & photographs online catalog (library of congress), prints and photographs division, catalog","No known restrictions on publication. For information see: ""Popular Graphic Arts,"" https://hdl.loc.gov/loc.pnp/res.248.pga",https://tile.loc.gov/storage-services/service/pnp/ppmsca/59500/59523v.jpg#h=1024&w=1010
http://hdl.loc.gov/loc.rbc/General.16152v1.1,Bell Thomas,1839,"The Zoology of the voyage of H.M.S. Beagle, under the command of Captain Fitzroy, R.N., during the years 1832 to 1836. : Published with the approval of the Lords Commissioners of Her Majesty's Treasury.","beagle expedition, mammals, fossil, paleontology, south america, zoology","Originally issued in parts: London : Smith Elder and Co., 1838-1843. Cf. Freeman, R.B. Charles Darwin (2nd ed.), 8. Vol. 1: 1840; v. 2: 1839; v. 3: 1841; v. 4: 1842; v. 5: 1843. On verso of t.p.: London : Printed by Steward and Murray ... Vol. 1: [2], iv, iv, 111, [1] p., XXXII leaves of plates (2 double, 1 folded); v. 2: ix, [5], v, [1], 97, [1] p., 35 leaves of plates; v. 3: [8], ii, [3]-156, [8] p., 50 leaves of plates; v. 4: xv, [1], 169, [3] p., 29 leaves of plates; v. 5: [2], vi, 51, [1] p., 20 leaves of plates. Illustrations by G. Scharf, B. Waterhouse Hawkins and others. Mounted errata slip on p. [1] of 5th group of v. 2; ""Corrigenda"": v. 3, p. [7] of 1st group; ""Errata"": v. 4, p. [170] and v. 5, p. [6] of 1st group. Includes bibliographical references and indexes. Freeman, R.B.  Charles Darwin, 9. LAC scc 2018-12-06 update (1 card)",South america,book,eng,image/gif; application/pdf; image/tiff; image/jpeg; image/jp2,"rare book selections, rare book and special collections division, catalog",Undetermined,https://tile.loc.gov/image-services/iiif/service:rbc:rbctos:2017gen16152v1:0001/full/pct:6.25/0/default.jpg#h=316&w=249
//hdl.loc.gov/loc.pnp/stereo.1s14746,,1902-01-01,"Mt. Hood (11,225 ft.) one of America's famous mountains, from Lost Lake, Oregon","fishing, hood, mount, hood, mount (or.), lakes & ponds, mountains, oregon, photographic prints, stereographs",1 photograph : print on card mount ; mount 9 x 18 cm (stereograph format),"Hood, Oregon, Mount","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"stereograph cards, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/stereo/1s10000/1s14000/1s14700/1s14746v.jpg#h=540&w=1024
//hdl.loc.gov/loc.pnp/stereo.1s34429,Not found,1860-01-01,"Herring fishing, Skudesnes, Norway","fishing boats, norway, photographic prints, stereographs",1 photograph : print ; mount 9 x 18 cm (stereograph format),Norway,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"stereograph cards, prints & photographs online catalog (library of congress), prints and photographs division, catalog","Rights status not evaluated. For general information see ""Copyright and Other Restrictions ...,"" https://hdl.loc.gov/loc.pnp/res.195.copr",https://tile.loc.gov/storage-services/service/pnp/stereo/1s30000/1s34000/1s34400/1s34429v.jpg#h=534&w=1024
https://hdl.loc.gov/loc.pnp/thc.5a36383,Horydczak Theodor approximately 1890-1971,1935-01-01,Fishing. Three fish,"acetate negatives, fishing, united states, washington region",1 negative : safety ; 4 x 5 in.,"United states, Washington region","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"horydczak collection, american memory, prints & photographs online catalog (library of congress), prints and photographs division, catalog","Publication may be restricted. For information see: ""Theodor Horydczak Collection"" https://hdl.loc.gov/loc.pnp/res.100.hory",https://tile.loc.gov/storage-services/service/pnp/thc/5a36000/5a36300/5a36383r.jpg#h=420&w=532
https://hdl.loc.gov/loc.pnp/thc.5a36385,Horydczak Theodor approximately 1890-1971,1935-01-01,Fishing. Fish story,"acetate negatives, fishing, portrait photographs, united states, washington region",1 negative : safety ; 4 x 5 in.,"Washington region, United states","photo, print, drawing",eng,image/gif; image/jpg; image/tif,"horydczak collection, american memory, prints & photographs online catalog (library of congress), prints and photographs division, catalog","Publication may be restricted. For information see: ""Theodor Horydczak Collection"" https://hdl.loc.gov/loc.pnp/res.100.hory",https://tile.loc.gov/storage-services/service/pnp/thc/5a36000/5a36300/5a36385r.jpg#h=420&w=537
//hdl.loc.gov/loc.pnp/var.0092,,1907-01-01,The lost trail a comedy drama of western life by Anthony E. Wills.,"american, color, comedies, fishermen, fishing, frontier & pioneer life, lithographs, theatrical posters, westerns",1 print : color lithograph ; sheet 36 x 28 cm. (poster format),Not found,"photo, print, drawing",eng,image/gif; image/jpg; image/tif,"posters: performing arts posters, vaudeville and popular entertainment, prints & photographs online catalog (library of congress), prints and photographs division, catalog",No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/var/0000/0092/0092r.jpg#h=1024&w=528
